ensembl_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
ENSMUSG00000018507,0,1.0395744328651126,3.016431874673196,3.488076290677971,2.214682348688105,6.7229921339472805,9.9362543528078,2783.484879961021,114
ENSMUSG00000018900,0,0,2.5196108573492353,1.6096110566941113,0,1.7703054959848752,10.061167014972,1284.4696232419003,420
ENSMUSG00000019359,0,0,0.2441089538382182,0.04653686155936297,0,0,3.63257046491938,37.136415524371685,760
ENSMUSG00000019796,0,0,1.2329315059486898,0.34506111147828766,0,0,8.52797128483643,275.35876695967346,664
ENSMUSG00000020101,0,0,2.7164903076990994,1.924014964016584,0.7643148578670615,2.3283528614873275,9.89224141878122,1535.3639412852347,342
ENSMUSG00000020238,0,2.8769594081252876,2.984370311769552,5.958035884247651,7.20016995695514,8.374802058144637,10.4619234593418,4754.51263562962,25
ENSMUSG00000020399,0,0,0.7261521364048649,0.24741441623833804,0,0,8.11802898878928,197.43670415819366,638
ENSMUSG00000020402,1.10903271151859,8.201952576932024,1.909795367119785,8.680782051627789,9.136496086129295,9.898524114320946,11.8597935436699,6927.264077198977,0
ENSMUSG00000020689,0,0,1.5997594531707713,0.5809297430893466,0,0,10.7268154520054,463.58193498529835,611
ENSMUSG00000020695,0,0,0.5278740948849564,0.23391298424095994,0,0,6.4696208642216,186.66256142428605,618
ENSMUSG00000020701,0,0,0.36493306691238175,0.05049841394291666,0,0,7.90497416436478,40.29773432644747,767
ENSMUSG00000020717,0,1.1455875777554425,3.2029435002899893,3.9363262716123946,2.71140082547763,7.1158960193219105,10.3324204639843,3141.188364746692,107
ENSMUSG00000021427,1.64105527141978,8.735600425589015,1.683298856457845,9.208426163564221,9.611839541149745,10.25947708057055,11.828395451702299,7348.324078524251,0
ENSMUSG00000021624,0,0,1.7661607531322558,0.7666456293160698,0,0.6358541874590714,8.59531915324067,611.7832121942234,570
ENSMUSG00000021728,0,2.502271193982595,3.592756435759843,5.531774183003452,3.9919111122105297,9.390049323505488,12.1081116713129,4414.355798036748,15
ENSMUSG00000021733,0,0.4170799065955968,3.0285312433252214,3.214320660539424,1.922507469969735,6.148004009236943,9.91788575410486,2565.02788711046,195
