cell,min,lowerq,mean,median,sd,upperq,max,n_zero
LT.HSC_069,0,0,2.3653907759901545,0.736810521932073,3.304192341575803,2.6987345450998,12.3493543248416,111
LT.HSC_070,0,0,2.5225192377656693,1.56370909916498,3.1209198965634757,3.67092783098951,12.3389672221094,122
LT.HSC_071,0,0,2.1700612512892468,1.07699475552361,3.1061343267932147,2.1574988934154273,12.4770511853103,91
LT.HSC_072,0,0,2.4456806337868393,0.71241871058166,3.334429256568276,2.967871765746605,11.8320343485443,98
LT.HSC_073,0,0,2.673292624757064,0,3.2306054861131757,4.34363394173818,11.4108480937542,143
LT.HSC_074,0,0,2.2405835281371913,0.853130038444265,3.119082544140537,2.96151489318912,10.5971088637875,140
LT.HSC_075,0,0,2.3390257756179005,0.945893097279513,3.260268366916911,2.71331886930232,11.547924586023,120
LT.HSC_076,0,0,2.408847864919693,1.16676569756253,3.2326670417770194,3.28029528361851,11.9331541723494,125
LT.HSC_077,0,0,2.3347386062966846,1.74235732563723,2.80357591497019,3.3761871156955,12.7080626320038,115
LT.HSC_078,0,0,2.190897561498739,1.47594575563256,2.9513009880333927,3.02265852659612,11.0038492614353,127
LT.HSC_080,0,0,2.460080107725522,1.10034923654537,3.2225335627424867,3.63699098234213,11.6354928346358,113
LT.HSC_081,0,0,2.5096214199278783,0.710338506395536,3.477817169323943,3.50268307051903,11.664251130059,120
LT.HSC_082,0,0,2.1300786204006683,0.689427461035135,3.2793333846713386,2.0732747899342803,11.8504951848752,118
LT.HSC_085,0,0,2.7581585012100196,1.90630530848818,3.0038540670760607,4.52279849093376,12.1082164224894,116
LT.HSC_086,0,0,2.667906974678323,1.35788014324568,3.0563772623439704,4.05578818195182,10.3734027625629,105
LT.HSC_088,0,0,2.6551791585131133,1.59107313811208,3.0845963479584038,4.0960821199597,11.9313666436456,113
LT.HSC_089,0,0,2.757949768036934,1.63887839136913,2.9140352070783595,4.0271174618821375,11.4589440340471,95
LT.HSC_090,0,0,2.210634484565192,0.814296069185091,2.9455087425059348,2.47265405029287,11.7795596211438,85
LT.HSC_091,0,0,2.2470523919002034,0.720478033404987,3.2160837301025786,2.70170147430081,12.1661573778921,89
LT.HSC_093,0,0,2.302447022407097,1.0707117317687,3.2064220677687225,2.7009604885992,11.9066790901891,123
LT.HSC_094,0,0,2.694331365189054,1.44909995209106,3.1952010968208544,4.32438885815762,11.4728321408354,112
LT.HSC_095,0,0,2.258048571246936,1.13616381856676,3.183894984506564,2.19971128721119,13.3245343369293,95
LT.HSC_096,0,0,3.145492415698644,1.69770651100448,3.283984392189618,5.51969830269799,11.3112014845138,106
LT.HSC_098,0,0,1.935611307644251,0,3.172654529826293,1.78321189760258,11.6587840011089,155
LT.HSC_100,0,0,1.9732281672760188,0,3.335502667394914,1.48105934637045,12.1517484833105,142
LT.HSC_101,0,0,2.30374795977485,0,3.1908899601890304,3.65226251758532,11.3891416261838,158
LT.HSC_102,0,0,2.0712264255332227,0,3.495228642022524,1.8253100146853274,12.9242144448074,154
LT.HSC_103,0,0,2.3190713838476547,0.550750783777762,3.4864744072299376,3.70734451007616,10.8032797455725,132
LT.HSC_105,0,0,1.572478219221452,0,2.797267425996154,1.8537889356939,11.8194663069444,188
LT.HSC_106,0,0,2.0789782301533646,0,3.0479947584544314,3.25404096862887,10.280329713141,157
LT.HSC_107,0,0,2.0683436070908128,0,2.531252895828327,3.7976133955418,8.92812731324356,148
LT.HSC_109,0,0,2.2121712682798704,1.76092271307742,3.107532854395555,3.02988475015514,12.0398372092702,139
LT.HSC_110,0,0,2.0960387480907254,0,3.3646490123823045,2.01714473535487,11.8212801138971,154
LT.HSC_111,0,0,2.752393760344833,2.13318356470302,3.2837258297270497,4.85328096557957,10.5455421867499,132
LT.HSC_112,0,0,2.5522179381324372,0.812698904075951,3.482516967224666,4.99617079934723,11.6602304535223,121
LT.HSC_113,0,0,2.351820419429751,0.67323913079649,3.201436554712708,2.593095543274495,11.2411655457989,91
